Id_Pelicula;Titulo_original;Fecha_estreno;Descripcion;Cartel_path;Genero_Pelicula
1;Inception;15/07/2010;"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.";/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg;Action, Science Fiction, Adventure
2;Interstellar;05/11/2014;The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.;/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg;Adventure, Drama, Science Fiction
3;The Dark Knight;16/07/2008;Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.;/qJ2tW6WMUDux911r6m7haRef0WH.jpg;Drama, Action, Crime, Thriller
4;Avatar;15/12/2009;In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.;/kyeqWdyUXW608qlYkRqosgbbJyK.jpg;Action, Adventure, Fantasy, Science Fiction
5;The Avengers;25/04/2012;When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!;/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg;Science Fiction, Action, Adventure
6;Deadpool;09/02/2016;The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.;/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg;Action, Adventure, Comedy
7;Avengers: Infinity War;25/04/2018;As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.;/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg;Adventure, Action, Science Fiction
8;Fight Club;15/10/1999;"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.";/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg;Drama
9;Guardians of the Galaxy;30/07/2014;Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.;/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg;Action, Science Fiction, Adventure
10;Pulp Fiction;10/09/1994;A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.;/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg;Thriller, Crime
11;Forrest Gump;23/06/1994;A man with a low IQ has accomplished great things in his life and been present during significant historic eventsâ€”in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.;/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg;Comedy, Drama, Romance
