Id_Pelicula;Titulo_original;Genero_Pelicula
1;Inception;"Action, Science Fiction, Adventure"
2;Interstellar;"Adventure, Drama, Science Fiction"
3;The Dark Knight;"Drama, Action, Crime, Thriller"
4;Avatar;"Action, Adventure, Fantasy, Science Fiction"
5;The Avengers;"Science Fiction, Action, Adventure"
6;Deadpool;"Action, Adventure, Comedy"
7;Avengers: Infinity War;"Adventure, Action, Science Fiction"
8;Fight Club;Drama
9;Guardians of the Galaxy;"Action, Science Fiction, Adventure"
10;Pulp Fiction;"Thriller, Crime"
11;Forrest Gump;"Comedy, Drama, Romance"
12;Harry Potter and the Philosopher's Stone;"Adventure, Fantasy"
13;Iron Man;"Action, Science Fiction, Adventure"
14;Django Unchained;"Drama, Western"
15;The Shawshank Redemption;"Drama, Crime"
16;Avengers: Endgame;"Adventure, Science Fiction, Action"
17;The Matrix;"Action, Science Fiction"
18;Titanic;"Drama, Romance"
19;Joker;"Crime, Thriller, Drama"
20;The Lord of the Rings: The Fellowship of the Ring;"Adventure, Fantasy, Action"
21;The Lord of the Rings: The Return of the King;"Adventure, Fantasy, Action"
22;Shutter Island;"Drama, Thriller, Mystery"
23;The Wolf of Wall Street;"Crime, Drama, Comedy"
24;Avengers: Age of Ultron;"Action, Adventure, Science Fiction"
25;Captain America: Civil War;"Adventure, Action, Science Fiction"
26;The Dark Knight Rises;"Action, Crime, Drama, Thriller"
27;Iron Man 3;"Action, Adventure, Science Fiction"
28;Black Panther;"Action, Adventure, Science Fiction"
29;Doctor Strange;"Action, Adventure, Fantasy"
30;Mad Max: Fury Road;"Action, Adventure, Science Fiction"
31;Inglourious Basterds;"Drama, Thriller, War"
32;The Hunger Games;"Science Fiction, Adventure, Fantasy"
33;Spider-Man: Homecoming;"Action, Adventure, Science Fiction, Drama"
34;Harry Potter and the Chamber of Secrets;"Adventure, Fantasy"
35;Guardians of the Galaxy Vol. 2;"Science Fiction, Adventure, Action"
36;The Lord of the Rings: The Two Towers;"Adventure, Fantasy, Action"
37;Captain America: The First Avenger;"Action, Adventure, Science Fiction"
38;Suicide Squad;"Action, Adventure, Fantasy"
39;Harry Potter and the Prisoner of Azkaban;"Adventure, Fantasy"
40;Thor;"Adventure, Fantasy, Action"
41;Iron Man 2;"Adventure, Action, Science Fiction"
42;Batman Begins;"Action, Crime, Drama"
43;Thor: Ragnarok;"Action, Adventure, Science Fiction"
44;Inside Out;"Animation, Family, Adventure, Drama, Comedy"
45;Jurassic World;"Action, Adventure, Science Fiction, Thriller"
46;Se7en;"Crime, Mystery, Thriller"
47;Harry Potter and the Goblet of Fire;"Adventure, Fantasy"
48;Pirates of the Caribbean: The Curse of the Black Pearl;"Adventure, Fantasy, Action"
49;Harry Potter and the Deathly Hallows: Part 2;"Fantasy, Adventure"
50;Star Wars;"Adventure, Action, Science Fiction"
51;Wonder Woman;"Action, Adventure, Fantasy"
52;Up;"Animation, Comedy, Family, Adventure"
53;Ant-Man;"Science Fiction, Action, Adventure"
54;The Godfather;"Drama, Crime"
55;The Martian;"Drama, Adventure, Science Fiction"
56;Back to the Future;"Adventure, Comedy, Science Fiction"
57;Star Wars: The Force Awakens;"Adventure, Action, Science Fiction"
58;Spider-Man: No Way Home;"Action, Adventure, Science Fiction"
59;Harry Potter and the Order of the Phoenix;"Adventure, Fantasy"
60;Harry Potter and the Half-Blood Prince;"Adventure, Fantasy"
61;Logan;"Action, Drama, Science Fiction"
62;Finding Nemo;"Animation, Family"
63;It;"Horror, Fantasy"
64;John Wick;"Action, Thriller"
65;Fantastic Beasts and Where to Find Them;"Fantasy, Adventure, Family"
66;Harry Potter and the Deathly Hallows: Part 1;"Adventure, Fantasy"
68;Captain America: The Winter Soldier;"Action, Adventure, Science Fiction"
69;Spider-Man;"Fantasy, Action"
70;WALLÂ·E;"Animation, Family, Science Fiction"
71;Gone Girl;"Mystery, Thriller, Drama"
72;The Hobbit: An Unexpected Journey;"Adventure, Fantasy, Action"
73;"Monsters, Inc.";"Animation, Comedy, Family"
74;Toy Story;"Animation, Adventure, Family, Comedy"
75;The Revenant;"Western, Drama, Adventure"
76;Batman v Superman: Dawn of Justice;"Action, Adventure, Fantasy"
77;The Lion King;"Family, Animation, Drama"
78;Gladiator;"Action, Drama, Adventure"
79;The Truman Show;"Comedy, Drama"
80;The Incredibles;"Action, Adventure, Animation, Family"
81;Arrival;"Drama, Science Fiction, Mystery"
82;Parasite;"Comedy, Thriller, Drama"
83;Thor: The Dark World;"Action, Adventure, Fantasy"
84;The Amazing Spider-Man;"Action, Adventure, Fantasy"
85;Split;"Horror, Thriller"
86;Deadpool 2;"Action, Comedy, Adventure"
87;The Shining;"Horror, Thriller"
88;Kill Bill: Vol. 1;"Action, Crime"
89;The Hunger Games: Catching Fire;"Adventure, Action, Science Fiction"
90;The Intouchables;"Drama, Comedy"
91;Get Out;"Mystery, Thriller, Horror"
92;The Imitation Game;"History, Drama, Thriller, War"
93;Bohemian Rhapsody;"Music, Drama, History"
94;The Green Mile;"Fantasy, Drama, Crime"
95;The Maze Runner;"Action, Mystery, Science Fiction, Thriller"
96;The Hangover;Comedy
97;The Empire Strikes Back;"Adventure, Action, Science Fiction"
98;Shrek;"Animation, Comedy, Fantasy, Adventure, Family"
99;Ratatouille;"Animation, Comedy, Family, Fantasy"
100;Kingsman: The Secret Service;"Crime, Comedy, Action, Adventure"
101;La La Land;"Comedy, Drama, Romance, Music"
102;Frozen;"Animation, Family, Adventure, Fantasy"
103;Dunkirk;"War, Action, Drama"
104;Zootopia;"Animation, Adventure, Family, Comedy"
105;Lucy;"Action, Science Fiction"
106;Jurassic Park;"Adventure, Science Fiction"
107;The Silence of the Lambs;"Crime, Drama, Thriller"
108;Spirited Away;"Animation, Family, Fantasy"
109;Beauty and the Beast;"Family, Fantasy, Romance"
110;Pirates of the Caribbean: Dead Man's Chest;"Adventure, Fantasy, Action"
111;Big Hero 6;"Adventure, Family, Animation, Action, Comedy"
112;Now You See Me;"Thriller, Crime"
113;The Hunger Games: Mockingjay - Part 1;"Science Fiction, Adventure, Thriller"
